instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,gvns,hh_rand,hh_greedy,ga_w_nn,state_of_art,our_nearest neighbor,our_genetic_algorithm,our_genetic_algorithm_w_nn,gap
a280,280,39340,TSP,FALSE,0.25,70,,,,606,606,626,6495,607,-0.17%
a280,280,39340,TSP,TRUE,0.25,70,687,670,683,686,670,619,6180,619,7.61%
ali535,535,143380,TSP,FALSE,0.25,133,,,,,,15928,652755,12705,
a280,280,39340,TSP,TRUE,0.5,140,1376,1314,1362,1358,1314,1574,13827,1371,-4.34%
att48,48,1176,TSP,FALSE,0.25,12,,,,,,1341,2520,1082,
a280,280,39340,TSP,TRUE,0.75,210,2149,2066,2043,,2043,2324,22036,2149,-5.19%
att532,532,141778,TSP,FALSE,0.25,133,,,,,,8678,89689,4761,
bayg29,29,435,TSP,FALSE,0.25,7,,,,246,246,263,274,222,9.76%
bays29,29,841,TSP,FALSE,0.25,7,,,,282,282,307,319,243,13.83%
ali535,535,143380,TSP,TRUE,0.25,133,18832,12602,12406,,12406,17536,656074,13698,-10.41%
ali535,535,143380,TSP,TRUE,0.5,267,59255,46457,46195,,46195,58917,1499201,52210,-13.02%
ali535,535,143380,TSP,TRUE,0.75,401,144825,113209,108369,,108369,115552,2320092,114090,-5.28%
berlin52,52,1378,TSP,FALSE,0.25,13,,,,489,489,472,1392,443,9.41%
bier127,127,8128,TSP,FALSE,0.25,31,,,,9840,9840,11094,60889,10480,-6.50%
brazil58,58,1711,TSP,FALSE,0.25,14,,,,,,2212,4246,1914,
att48,48,1176,TSP,TRUE,0.25,12,1925,1925,1925,,1925,1520,2259,1145,40.52%
att48,48,1176,TSP,TRUE,0.5,24,3603,3603,3603,,3603,4583,9465,3808,-5.69%
att48,48,1176,TSP,TRUE,0.75,36,6563,6563,6563,,6563,7923,22294,7142,-8.82%
brg180,180,16290,TSP,FALSE,0.25,45,,,,,,470,82280,470,
burma14,14,105,TSP,FALSE,0.25,3,,,,151,151,182,176,176,-16.56%
ch130,130,8515,TSP,FALSE,0.25,32,,,,1116,1116,1507,6878,1072,3.94%
att532,532,141778,TSP,TRUE,0.25,133,4596,3980,4024,,3980,10232,96541,5048,-26.83%
att532,532,141778,TSP,TRUE,0.5,266,11285,9991,10285,,9991,18990,213692,12597,-26.08%
att532,532,141778,TSP,TRUE,0.75,399,23148,19245,18858,,18858,24373,344511,20221,-7.23%
ch150,150,11325,TSP,FALSE,0.25,37,,,,1204,1204,1512,8128,1226,-1.83%
bayg29,29,435,TSP,TRUE,0.25,7,332,332,332,332,332,338,289,269,18.98%
d198,198,19701,TSP,FALSE,0.25,49,,,,3269,3269,2147,19442,1600,51.06%
bayg29,29,435,TSP,TRUE,0.5,14,626,626,626,626,626,677,950,587,6.23%
d493,493,121771,TSP,FALSE,0.25,123,,,,,,9317,72663,3399,
bayg29,29,435,TSP,TRUE,0.75,21,999,999,999,999,999,1090,1835,1000,-0.10%
d657,657,216153,TSP,FALSE,0.25,164,,,,,,9996,170421,9397,
