x_iters,func_vals,population_size,generations,mutation_rate,selection_size,has_variable_mutate_rate,mutation_op_prob_1,mutation_op_prob_2,mutation_op_prob_3,mutation_op_prob_4,total,normalized_mutation_op_prob_1,normalized_mutation_op_prob_2,normalized_mutation_op_prob_3,normalized_mutation_op_prob_4,best_func_val
"[np.int64(169), np.int64(219), 0.08721510558604813, np.int64(35), False, 0.38438170729269994, 0.29753460654447234, 0.056712977317443194]",451204.0,169,219,0.08721510558604813,35,False,0.38438170729269994,0.29753460654447234,0.056712977317443194,0.2613707088453846,1.0,0.38438170729269994,0.29753460654447234,0.056712977317443194,0.2613707088453846,451204.0
"[np.int64(105), np.int64(146), 0.08309518558979441, np.int64(22), True, 0.8360787635373778, 0.33739616041726844, 0.6481718720511973]",452677.0,105,146,0.08309518558979441,22,True,0.8360787635373778,0.33739616041726844,0.6481718720511973,0.0,1.8216467960058436,0.4589686460462974,0.1852149171601464,0.3558164367935561,0.0,451204.0
"[np.int64(124), np.int64(241), 0.02263157023713807, np.int64(35), True, 0.8009107519796445, 0.5204774795512049, 0.6788795301189604]",453203.0,124,241,0.02263157023713807,35,True,0.8009107519796445,0.5204774795512049,0.6788795301189604,0.0,2.00026776164981,0.40040176987057857,0.26020390346236344,0.33939432666705793,0.0,451204.0
"[np.int64(194), np.int64(166), 0.058363590650410975, np.int64(32), True, 0.47360041934665753, 0.18633234332676, 0.7369181771289582]",451195.0,194,166,0.058363590650410975,32,True,0.47360041934665753,0.18633234332676,0.7369181771289582,0.0,1.3968509398023756,0.3390486456727171,0.13339457920479475,0.5275567751224882,0.0,451195.0
"[np.int64(93), np.int64(77), 0.039172690701389276, np.int64(10), True, 0.38648898112586205, 0.9025984755294049, 0.4499499899112277]",453088.0,93,77,0.039172690701389276,10,True,0.38648898112586205,0.9025984755294049,0.4499499899112277,0.0,1.7390374465664946,0.22224304708845388,0.519021874607398,0.25873507830414805,0.0,451195.0
"[np.int64(173), np.int64(230), 0.018935231532307653, np.int64(39), False, 0.17090958513604518, 0.35815216696952507, 0.7506861412184564]",450774.0,173,230,0.018935231532307653,39,False,0.17090958513604518,0.35815216696952507,0.7506861412184564,0.0,1.2797478933240267,0.13354941705910792,0.2798615015018762,0.5865890814390158,0.0,450774.0
"[np.int64(172), np.int64(115), 0.013458288382546126, np.int64(27), False, 0.652790317005491, 0.635058873603564, 0.9952995676778879]",450925.0,172,115,0.013458288382546126,27,False,0.652790317005491,0.635058873603564,0.9952995676778879,0.0,2.2831487582869427,0.2859166817913707,0.27815045835211,0.4359328598565193,0.0,450774.0
"[np.int64(166), np.int64(133), 0.052722775205957174, np.int64(27), True, 0.6747523222590208, 0.31720174206929613, 0.7783454820259093]",450953.0,166,133,0.052722775205957174,27,True,0.6747523222590208,0.31720174206929613,0.7783454820259093,0.0,1.7702995463542262,0.3811514970156395,0.1791797002504716,0.4396688027338889,0.0,450774.0
"[np.int64(240), np.int64(183), 0.011221447205089885, np.int64(27), False, 0.971945002499666, 0.8781934713471772, 0.5096243767199002]",451133.0,240,183,0.011221447205089885,27,False,0.971945002499666,0.8781934713471772,0.5096243767199002,0.0,2.359762850566743,0.41188249160979645,0.3721532742734135,0.21596423411679017,0.0,450774.0
"[np.int64(61), np.int64(140), 0.011798889886788287, np.int64(20), False, 0.35944446396932156, 0.48089353083616293, 0.6886611828057705]",453335.0,61,140,0.011798889886788287,20,False,0.35944446396932156,0.48089353083616293,0.6886611828057705,0.0,1.528999177611255,0.23508479875762864,0.31451523184430985,0.45039996939806154,0.0,450774.0
"[np.int64(250), np.int64(250), 0.1, np.int64(40), np.True_, 0.0, 0.0, 1.0]",448750.0,250,250,0.1,40,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,448750.0
"[np.int64(250), np.int64(114), 0.07755424390808252, np.int64(11), np.True_, 0.0, 0.0, 0.28758044605164584]",450641.0,250,114,0.07755424390808252,11,True,0.0,0.0,0.28758044605164584,0.7124195539483542,1.0,0.0,0.0,0.28758044605164584,0.7124195539483542,448750.0
"[np.int64(250), np.int64(250), 0.09009767493121877, np.int64(40), np.True_, 0.0, 0.0, 1.0]",451113.0,250,250,0.09009767493121877,40,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,448750.0
"[np.int64(250), np.int64(77), 0.04539256519601721, np.int64(15), np.False_, 1.0, 0.11184499640470255, 0.1464557605045823]",450685.0,250,77,0.04539256519601721,15,False,1.0,0.11184499640470255,0.1464557605045823,0.0,1.2583007569092848,0.7947225609688586,0.088885741974298,0.11639169705684346,0.0,448750.0
"[np.int64(250), np.int64(50), 0.1, np.int64(40), np.False_, 0.0, 1.0, 1.0]",451019.0,250,50,0.1,40,False,0.0,1.0,1.0,0.0,2.0,0.0,0.5,0.5,0.0,448750.0
"[np.int64(214), np.int64(184), 0.06934813505480011, np.int64(13), np.True_, 0.9745663734494395, 0.9999062493815927, 0.23459652730254626]",449074.0,214,184,0.06934813505480011,13,True,0.9745663734494395,0.9999062493815927,0.23459652730254626,0.0,2.2090691501335784,0.441166078205614,0.4526369169209258,0.10619700487346023,0.0,448750.0
"[np.int64(215), np.int64(188), 0.09508012671981397, np.int64(5), np.True_, 0.935628612232425, 0.01395690981647502, 0.9135065924819028]",451451.0,215,188,0.09508012671981397,5,True,0.935628612232425,0.01395690981647502,0.9135065924819028,0.0,1.8630921145308028,0.5021912791832366,0.0074912612788283406,0.4903174595379351,0.0,448750.0
"[np.int64(250), np.int64(97), 0.017073453299394907, np.int64(7), np.True_, 0.986946185249211, 0.3315492000068397, 0.1080309928617206]",449942.0,250,97,0.017073453299394907,7,True,0.986946185249211,0.3315492000068397,0.1080309928617206,0.0,1.4265263781177713,0.6918527413081811,0.2324171533682412,0.07573010532357767,0.0,448750.0
