number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
0,11043.666666666666,2025-05-24 18:46:22.293197,2025-05-24 18:56:33.539167,0 days 00:10:11.245970,553,False,0.5447934166309031,718,433,False,"[0.3949407129162019, 0.5922363751276989, 0.011504765988698002, 0.0013181459674011687]",COMPLETE
1,11072.166666666666,2025-05-24 18:56:33.539763,2025-05-24 19:02:49.830873,0 days 00:06:16.291110,964,False,0.5288371299133987,389,308,False,"[0.1506355303915499, 0.043301720479387865, 0.7546224421616841, 0.05144030696737835]",COMPLETE
2,11023.916666666666,2025-05-24 19:02:49.831438,2025-05-24 19:08:41.126751,0 days 00:05:51.295313,30,True,0.8692721239503255,835,649,False,"[0.08273460912247735, 0.13938669798416067, 0.3271377805362672, 0.4507409123570948]",COMPLETE
3,11046.319444444445,2025-05-24 19:08:41.127873,2025-05-24 19:23:06.889489,0 days 00:14:25.761616,127,True,0.9437795792154847,644,93,False,"[0.026837065496692757, 0.09505308224209157, 0.34140468400622415, 0.5367051682549916]",COMPLETE
4,11068.208333333334,2025-05-24 19:23:06.889975,2025-05-24 19:42:34.899447,0 days 00:19:28.009472,462,False,0.6174002260817253,573,11,True,"[0.49912212615795826, 0.056602001182718825, 0.4257249037080548, 0.018550968951268013]",COMPLETE
5,11027.708333333334,2025-05-24 19:42:34.899926,2025-05-24 19:47:59.390320,0 days 00:05:24.490394,366,False,0.06110502068601129,443,309,True,"[0.43494419709856946, 0.16424036905972403, 0.28490707299453016, 0.11590836084717633]",COMPLETE
6,11084.666666666666,2025-05-24 19:47:59.390755,2025-05-24 19:53:57.714039,0 days 00:05:58.323284,322,True,0.4387243104353957,370,211,True,"[0.34334629529689814, 0.09111866567720578, 0.2993645425965547, 0.26617049642934126]",COMPLETE
7,11074.930555555555,2025-05-24 19:53:57.714684,2025-05-24 20:01:46.059110,0 days 00:07:48.344426,657,True,0.24493674081759953,261,122,True,"[0.22135252793178753, 0.3207377658683681, 0.1778720548073249, 0.2800376513925194]",COMPLETE
8,11036.180555555555,2025-05-24 20:01:46.060021,2025-05-24 20:05:31.807858,0 days 00:03:45.747837,204,True,0.09790707324147514,375,308,True,"[0.0954647868962183, 0.25675110781158944, 0.09165753816697864, 0.5561265671252138]",COMPLETE
9,10974.555555555555,2025-05-24 20:05:31.808394,2025-05-24 20:20:50.082149,0 days 00:15:18.273755,977,True,0.040109416669812034,609,450,True,"[0.574763628660341, 0.08625991961602655, 0.16444043356293817, 0.17453601816069408]",COMPLETE
10,11087.722222222223,2025-05-24 20:20:50.082556,2025-05-24 20:30:41.746676,0 days 00:09:51.664120,325,True,0.6920871751312798,420,27,True,"[0.21692576199956654, 0.1302847716553962, 0.5274349034506639, 0.1253545628943734]",COMPLETE
11,11043.597222222223,2025-05-24 20:30:41.748796,2025-05-24 21:01:38.041453,0 days 00:30:56.292657,580,False,0.6670755592037543,930,296,True,"[0.11858475181020678, 0.27803618157784765, 0.5797248434596043, 0.023654223152341336]",COMPLETE
