instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,worst_nearest_neighbors,avg_nearest_neighbors,best_nearest_neighbors,worst_genetic_algorithm,avg_genetic_algorithm,best_genetic_algorithm,worst_ensemble,avg_ensemble,best_ensemble,worst_solution,avg_solution,best_solution
a280,280,39340,TSP,false,0.25,70,626,626.0,626,6988,6696.2,6495,607,607.0,607,6988,3507.5238095238096,607
a280,280,39340,TSP,false,0.5,140,1460,1460.0,1460,14994,14441.1,13117,1282,1282.0,1282,14994,7556.714285714285,1282
a280,280,39340,TSP,false,0.75,210,2170,2170.0,2170,23103,22686.5,21962,1966,1966.0,1966,23103,11842.619047619048,1966
a280,280,39340,TSP,true,0.25,70,619,619.0,619,6828,6515.6,6180,619,619.0,619,6828,3426.904761904762,619
a280,280,39340,TSP,true,0.5,140,1574,1574.0,1574,15100,14711.3,13827,1371,1371.0,1371,15100,7733.190476190476,1371
a280,280,39340,TSP,true,0.75,210,2324,2324.0,2324,23074,22440.2,22036,2149,2149.0,2149,23074,11819.809523809523,2149
ali535,535,143380,TSP,false,0.25,133,15928,15928.0,15928,746151,706395.7,652755,12705,12705.0,12705,746151,343187.38095238095,12705
ali535,535,143380,TSP,false,0.5,267,56107,56107.0,56107,1583479,1531893.9,1482851,48724,48724.0,48724,1583479,755346.9523809524,48724
ali535,535,143380,TSP,false,0.75,401,108876,108876.0,108876,2463044,2412473.7,2347381,105694,105694.0,105694,2463044,1204312.0476190476,105694
ali535,535,143380,TSP,true,0.25,133,17536,17536.0,17536,734960,694266.6,656074,13698,13698.0,13698,734960,337961.04761904763,13698
ali535,535,143380,TSP,true,0.5,267,58917,58917.0,58917,1621823,1542209.1,1499201,52210,52210.0,52210,1621823,762052.7619047619,52210
ali535,535,143380,TSP,true,0.75,401,115552,115552.0,115552,2467524,2407243.2,2320092,114090,114090.0,114090,2467524,1206137.3333333333,114090
att48,48,1176,TSP,false,0.25,12,1341,1341.0,1341,5600,3948.1,2520,1082,1082.0,1082,5600,2459.1428571428573,1082
att48,48,1176,TSP,false,0.5,24,3731,3731.0,3731,14774,12444.5,9561,3389,3389.0,3389,14774,7717.428571428572,3389
att48,48,1176,TSP,false,0.75,36,7038,7038.0,7038,27093,23924.8,21395,6623,6623.0,6623,27093,14881.714285714286,6623
att48,48,1176,TSP,true,0.25,12,1520,1520.0,1520,4696,3528.8,2259,1145,1145.0,1145,4696,2298.0,1145
att48,48,1176,TSP,true,0.5,24,4583,4583.0,4583,14428,12639.7,9465,3880,3872.8,3808,14428,8081.333333333333,3808
att48,48,1176,TSP,true,0.75,36,7923,7923.0,7923,25869,24170.5,22294,7142,7142.0,7142,25869,15288.0,7142
att532,532,141778,TSP,false,0.25,133,8678,8678.0,8678,103861,99863.9,89689,4761,4761.0,4761,103861,50234.619047619046,4761
att532,532,141778,TSP,false,0.5,266,18306,18306.0,18306,230295,223360.7,218486,11884,11884.0,11884,230295,112893.0,11884
att532,532,141778,TSP,false,0.75,399,24103,24103.0,24103,360589,350017.2,342667,19969,19969.0,19969,360589,177331.66666666666,19969
att532,532,141778,TSP,true,0.25,133,10232,10232.0,10232,109485,101988.2,96541,5048,5048.0,5048,109485,51456.857142857145,5048
att532,532,141778,TSP,true,0.5,266,18990,18990.0,18990,233306,222437.9,213692,12697,12677.8,12597,233306,112864.14285714286,12597
att532,532,141778,TSP,true,0.75,399,24373,24373.0,24373,359331,352209.5,344511,20221,20221.0,20221,359331,178508.47619047618,20221
bayg29,29,435,TSP,false,0.25,7,263,263.0,263,325,293.7,274,235,233.7,222,325,263.6666666666667,222
bayg29,29,435,TSP,false,0.5,14,627,627.0,627,1237,1141.2,1030,553,553.0,553,1237,836.6190476190476,553
bayg29,29,435,TSP,false,0.75,21,1062,1062.0,1062,2176,2018.9,1811,928,928.0,928,2176,1453.857142857143,928
bayg29,29,435,TSP,true,0.25,7,338,338.0,338,334,300.2,289,269,269.0,269,338,287.14285714285717,269
bayg29,29,435,TSP,true,0.5,14,677,677.0,677,1270,1109.8,950,595,593.0,587,1270,843.0952380952381,587
bayg29,29,435,TSP,true,0.75,21,1090,1090.0,1090,2223,2051.2,1835,1000,1000.0,1000,2223,1504.857142857143,1000
bays29,29,841,TSP,false,0.25,7,307,307.0,307,390,347.9,319,243,243.0,243,390,296.0,243
bays29,29,841,TSP,false,0.5,14,950,950.0,950,1426,1298.4,1171,654,654.0,654,1426,974.952380952381,654
bays29,29,841,TSP,false,0.75,21,1366,1366.0,1366,2789,2486.4,2332,1149,1142.1,1101,2789,1792.904761904762,1101
bays29,29,841,TSP,true,0.25,7,404,404.0,404,401,356.1,330,302,302.0,302,404,332.6190476190476,302
bays29,29,841,TSP,true,0.5,14,833,833.0,833,1427,1310.5,1132,671,671.0,671,1427,983.2380952380952,671
bays29,29,841,TSP,true,0.75,21,1428,1428.0,1428,2671,2549.8,2241,1217,1212.7,1176,2671,1859.6666666666667,1176
berlin52,52,1378,TSP,false,0.25,13,472,472.0,472,3167,1944.8,1392,443,443.0,443,3167,1159.5238095238096,443
berlin52,52,1378,TSP,false,0.5,26,1784,1784.0,1784,9290,7698.9,6175,1730,1729.8,1728,9290,4574.809523809524,1728
