instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,worst_nearest_neighbors,avg_nearest_neighbors,best_nearest_neighbors,worst_genetic_algorithm,avg_genetic_algorithm,best_genetic_algorithm,worst_ensemble,avg_ensemble,best_ensemble,worst_solution,avg_solution,best_solution
a280.tsp,280,39340,TSP,false,0.25,70,626,626.0,626,6133,5667.9,5253,607,607.0,607,6133,3017.8571428571427,607
a280.tsp,280,39340,TSP,false,0.5,140,1460,1460.0,1460,13593,13172.0,12525,1282,1282.0,1282,13593,6952.380952380952,1282
a280.tsp,280,39340,TSP,false,0.75,210,2170,2170.0,2170,22529,21767.7,21044,1966,1966.0,1966,22529,11405.095238095239,1966
a280.tsp,280,39340,TSP,true,0.25,70,619,619.0,619,6254,5537.0,4684,619,619.0,619,6254,2960.904761904762,619
a280.tsp,280,39340,TSP,true,0.5,140,1574,1574.0,1574,14184,13600.0,12886,1371,1370.9,1370,14184,7203.952380952381,1370
a280.tsp,280,39340,TSP,true,0.75,210,2324,2324.0,2324,22798,22007.1,21228,2149,2149.0,2149,22798,11613.57142857143,2149
ali535.tsp,535,143380,TSP,false,0.25,133,15928,15928.0,15928,692381,635075.2,532013,12705,12705.0,12705,692381,309225.2380952381,12705
ali535.tsp,535,143380,TSP,false,0.5,267,56107,56107.0,56107,1594550,1504685.5,1434651,48724,48724.0,48724,1594550,742390.5714285715,48724
ali535.tsp,535,143380,TSP,false,0.75,401,108876,108876.0,108876,2396142,2351301.6,2286423,105694,105694.0,105694,2396142,1175182.4761904762,105694
ali535.tsp,535,143380,TSP,true,0.25,133,17536,17536.0,17536,708693,619335.1,476521,13698,13698.0,13698,708693,302279.38095238095,13698
ali535.tsp,535,143380,TSP,true,0.5,267,58917,58917.0,58917,1567033,1515035.5,1445610,52210,52210.0,52210,1567033,749112.9523809524,52210
ali535.tsp,535,143380,TSP,true,0.75,401,115552,115552.0,115552,2428146,2356397.2,2316520,114090,114090.0,114090,2428146,1181924.9523809524,114090
att48.tsp,48,1176,TSP,false,0.25,12,1341,1341.0,1341,3193,2763.0,2326,1082,1079.0,1052,3193,1893.3809523809523,1052
att48.tsp,48,1176,TSP,false,0.5,24,3731,3731.0,3731,12068,10298.1,9055,3389,3389.0,3389,12068,6695.333333333333,3389
att48.tsp,48,1176,TSP,false,0.75,36,7038,7038.0,7038,24325,21483.9,19936,6623,6623.0,6623,24325,13719.380952380952,6623
att48.tsp,48,1176,TSP,true,0.25,12,1520,1520.0,1520,2923,2414.4,1503,1145,1145.0,1145,2923,1767.3333333333333,1145
att48.tsp,48,1176,TSP,true,0.5,24,4583,4583.0,4583,11884,9866.8,7011,3880,3869.2,3772,11884,6759.190476190476,3772
att48.tsp,48,1176,TSP,true,0.75,36,7923,7923.0,7923,23375,21607.5,18460,7142,7142.0,7142,23375,14067.52380952381,7142
att532.tsp,532,141778,TSP,false,0.25,133,8678,8678.0,8678,103191,91436.6,83112,4761,4761.0,4761,103191,46221.619047619046,4761
att532.tsp,532,141778,TSP,false,0.5,266,18306,18306.0,18306,224849,212607.0,201787,11884,11884.0,11884,224849,107772.19047619047,11884
att532.tsp,532,141778,TSP,false,0.75,399,24103,24103.0,24103,352932,342077.8,330082,19969,19969.0,19969,352932,173551.0,19969
att532.tsp,532,141778,TSP,true,0.25,133,10232,10232.0,10232,102045,93832.6,87736,5048,5048.0,5048,102045,47573.23809523809,5048
att532.tsp,532,141778,TSP,true,0.5,266,18990,18990.0,18990,224538,215089.3,204347,12697,12697.0,12697,224538,109373.95238095238,12697
att532.tsp,532,141778,TSP,true,0.75,399,24373,24373.0,24373,348070,341281.4,328261,20221,20221.0,20221,348070,173304.61904761905,20221
bayg29.tsp,29,435,TSP,false,0.25,7,263,263.0,263,301,281.3,259,235,235.0,235,301,258.3809523809524,235
bayg29.tsp,29,435,TSP,false,0.5,14,627,627.0,627,1007,930.5,857,553,553.0,553,1007,736.2857142857143,553
bayg29.tsp,29,435,TSP,false,0.75,21,1062,1062.0,1062,1970,1869.8,1611,928,928.0,928,1970,1382.857142857143,928
bayg29.tsp,29,435,TSP,true,0.25,7,338,338.0,338,306,291.7,289,269,269.0,269,338,283.0952380952381,269
bayg29.tsp,29,435,TSP,true,0.5,14,677,677.0,677,978,891.1,803,595,593.4,591,978,739.1428571428571,591
