number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
0,11179.527777777777,2025-06-08 17:35:12.544478,2025-06-08 17:37:33.511635,0 days 00:02:20.967157,553,False,0.5447934166309031,718,433,False,"[0.3949407129162019, 0.5922363751276989, 0.011504765988698002, 0.0013181459674011687]",COMPLETE
1,11154.888888888889,2025-06-08 17:37:33.512105,2025-06-08 17:38:38.688840,0 days 00:01:05.176735,964,False,0.5288371299133987,389,308,False,"[0.1506355303915499, 0.043301720479387865, 0.7546224421616841, 0.05144030696737835]",COMPLETE
2,11183.513888888889,2025-06-08 17:38:38.689395,2025-06-08 17:38:54.162229,0 days 00:00:15.472834,30,True,0.8692721239503255,835,649,False,"[0.08273460912247735, 0.13938669798416067, 0.3271377805362672, 0.4507409123570948]",COMPLETE
3,11185.166666666666,2025-06-08 17:38:54.162753,2025-06-08 17:41:19.131484,0 days 00:02:24.968731,127,True,0.9437795792154847,644,93,False,"[0.026837065496692757, 0.09505308224209157, 0.34140468400622415, 0.5367051682549916]",COMPLETE
4,11184.472222222223,2025-06-08 17:41:19.132027,2025-06-08 17:46:51.374702,0 days 00:05:32.242675,462,False,0.6174002260817253,573,11,True,"[0.49912212615795826, 0.056602001182718825, 0.4257249037080548, 0.018550968951268013]",COMPLETE
5,11133.486111111111,2025-06-08 17:46:51.375141,2025-06-08 17:47:53.884379,0 days 00:01:02.509238,366,False,0.06110502068601129,443,309,True,"[0.43494419709856946, 0.16424036905972403, 0.28490707299453016, 0.11590836084717633]",COMPLETE
6,11155.555555555555,2025-06-08 17:47:53.884811,2025-06-08 17:49:07.559662,0 days 00:01:13.674851,322,True,0.4387243104353957,370,211,True,"[0.34334629529689814, 0.09111866567720578, 0.2993645425965547, 0.26617049642934126]",COMPLETE
7,11174.638888888889,2025-06-08 17:49:07.560017,2025-06-08 17:51:15.977509,0 days 00:02:08.417492,657,True,0.24493674081759953,261,122,True,"[0.22135252793178753, 0.3207377658683681, 0.1778720548073249, 0.2800376513925194]",COMPLETE
8,11071.666666666666,2025-06-08 17:51:15.978067,2025-06-08 17:51:43.347860,0 days 00:00:27.369793,204,True,0.09790707324147514,375,308,True,"[0.0954647868962183, 0.25675110781158944, 0.09165753816697864, 0.5561265671252138]",COMPLETE
9,11055.805555555555,2025-06-08 17:51:43.348120,2025-06-08 17:55:32.192884,0 days 00:03:48.844764,977,True,0.040109416669812034,609,450,True,"[0.574763628660341, 0.08625991961602655, 0.16444043356293817, 0.17453601816069408]",COMPLETE
10,11017.166666666666,2025-06-08 17:55:32.193190,2025-06-08 17:56:37.276091,0 days 00:01:05.082901,967,True,0.3188667775678484,969,923,True,"[0.21692576199956654, 0.1302847716553962, 0.5274349034506639, 0.1253545628943734]",COMPLETE
11,11097.125,2025-06-08 17:56:37.276625,2025-06-08 17:56:49.681674,0 days 00:00:12.405049,930,True,0.3032137950521592,981,975,True,"[0.11858475181020678, 0.27803618157784765, 0.5797248434596043, 0.023654223152341336]",COMPLETE
12,11157.375,2025-06-08 17:56:49.682243,2025-06-08 17:56:56.770514,0 days 00:00:07.088271,780,True,0.0015421825368728895,112,108,True,"[0.22837259329677517, 0.7084207746411397, 0.015659707828498133, 0.047546924233586876]",COMPLETE
13,11058.375,2025-06-08 17:56:56.770971,2025-06-08 18:01:41.148983,0 days 00:04:44.378012,800,True,0.21670907986151067,967,705,True,"[0.358710293470254, 0.29735649312313966, 0.33640524182405523, 0.007527971582551028]",COMPLETE
14,11075.430555555555,2025-06-08 18:01:41.149246,2025-06-08 18:06:59.429346,0 days 00:05:18.280100,825,True,0.40449100399529314,785,535,True,"[0.5049955433629453, 0.053005724421133604, 0.1376582344065283, 0.30434049780939293]",COMPLETE
15,11096.194444444445,2025-06-08 18:06:59.429608,2025-06-08 18:07:26.170902,0 days 00:00:26.741294,986,True,0.7242489928964109,869,849,True,"[0.5742029465166818, 0.3496905470654274, 0.06665332332181295, 0.009453183096077889]",COMPLETE
16,11187.708333333334,2025-06-08 18:07:26.171505,2025-06-08 18:07:42.128842,0 days 00:00:15.957337,634,True,0.1852016176691766,24,3,True,"[0.1664128476404589, 0.5508103410878739, 0.013673412694420175, 0.26910339857724713]",COMPLETE
17,11091.486111111111,2025-06-08 18:07:42.129164,2025-06-08 18:11:12.649890,0 days 00:03:30.520726,856,True,0.34578526602859483,557,390,True,"[0.6197132740491483, 0.01736576122512951, 0.15441542608512826, 0.20850553864059373]",COMPLETE
18,11142.194444444445,2025-06-08 18:11:12.650494,2025-06-08 18:13:51.361915,0 days 00:02:38.711421,636,False,0.20940687207138997,731,508,False,"[0.3233808486664564, 0.27885748512883823, 0.29651705142842283, 0.10124461477628247]",COMPLETE
19,11172.527777777777,2025-06-08 18:13:51.362397,2025-06-08 18:16:32.286699,0 days 00:02:40.924302,727,True,0.11981561004439073,215,42,True,"[0.3408869492871127, 0.4257982319438627, 0.20199065144715916, 0.03132416732186557]",COMPLETE
20,11047.958333333334,2025-06-08 18:16:32.287260,2025-06-08 18:23:10.557587,0 days 00:06:38.270327,907,True,0.7256523370545971,892,616,True,"[0.14468357219721728, 0.3586363943876792, 0.09024457382468949, 0.406435459590414]",COMPLETE
21,11032.611111111111,2025-06-08 18:23:10.557848,2025-06-08 18:28:52.627430,0 days 00:05:42.069582,899,True,0.7921167314328752,911,631,True,"[0.044680619111363847, 0.18817950841554498, 0.7380204618442173, 0.02911941062887392]",COMPLETE
22,11064.458333333334,2025-06-08 18:28:52.627810,2025-06-08 18:34:44.653631,0 days 00:05:52.025821,879,True,0.7720957123736282,906,672,True,"[0.22029052656083098, 0.2458997147459256, 0.05780500526307615, 0.4760047534301673]",COMPLETE
23,11039.888888888889,2025-06-08 18:34:44.654161,2025-06-08 18:39:05.380884,0 days 00:04:20.726723,726,True,0.6779949430868494,985,804,True,"[0.11707730936559117, 0.21144627543614855, 0.08708563467401714, 0.5843907805242432]",COMPLETE
24,11028.958333333334,2025-06-08 18:39:05.381500,2025-06-08 18:43:25.489581,0 days 00:04:20.108081,724,True,0.6327156713181138,993,810,True,"[0.169414055466739, 0.058108945335867516, 0.20383335083390533, 0.568643648363488]",COMPLETE
