number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
0,11179.527777777777,2025-06-06 23:03:21.901319,2025-06-06 23:05:43.004305,0 days 00:02:21.102986,553,False,0.5447934166309031,718,433,False,"[0.3949407129162019, 0.5922363751276989, 0.011504765988698002, 0.0013181459674011687]",COMPLETE
1,11154.888888888889,2025-06-06 23:05:43.004685,2025-06-06 23:06:48.571985,0 days 00:01:05.567300,964,False,0.5288371299133987,389,308,False,"[0.1506355303915499, 0.043301720479387865, 0.7546224421616841, 0.05144030696737835]",COMPLETE
2,11183.513888888889,2025-06-06 23:06:48.572316,2025-06-06 23:07:04.159396,0 days 00:00:15.587080,30,True,0.8692721239503255,835,649,False,"[0.08273460912247735, 0.13938669798416067, 0.3271377805362672, 0.4507409123570948]",COMPLETE
3,11185.166666666666,2025-06-06 23:07:04.159962,2025-06-06 23:09:28.146092,0 days 00:02:23.986130,127,True,0.9437795792154847,644,93,False,"[0.026837065496692757, 0.09505308224209157, 0.34140468400622415, 0.5367051682549916]",COMPLETE
4,11184.472222222223,2025-06-06 23:09:28.146542,2025-06-06 23:15:00.742115,0 days 00:05:32.595573,462,False,0.6174002260817253,573,11,True,"[0.49912212615795826, 0.056602001182718825, 0.4257249037080548, 0.018550968951268013]",COMPLETE
5,11133.486111111111,2025-06-06 23:15:00.742548,2025-06-06 23:16:04.439439,0 days 00:01:03.696891,366,False,0.06110502068601129,443,309,True,"[0.43494419709856946, 0.16424036905972403, 0.28490707299453016, 0.11590836084717633]",COMPLETE
6,11155.555555555555,2025-06-06 23:16:04.439903,2025-06-06 23:17:18.140309,0 days 00:01:13.700406,322,True,0.4387243104353957,370,211,True,"[0.34334629529689814, 0.09111866567720578, 0.2993645425965547, 0.26617049642934126]",COMPLETE
7,11174.638888888889,2025-06-06 23:17:18.140829,2025-06-06 23:19:27.909351,0 days 00:02:09.768522,657,True,0.24493674081759953,261,122,True,"[0.22135252793178753, 0.3207377658683681, 0.1778720548073249, 0.2800376513925194]",COMPLETE
8,11071.666666666666,2025-06-06 23:19:27.909771,2025-06-06 23:19:54.997940,0 days 00:00:27.088169,204,True,0.09790707324147514,375,308,True,"[0.0954647868962183, 0.25675110781158944, 0.09165753816697864, 0.5561265671252138]",COMPLETE
9,11055.805555555555,2025-06-06 23:19:54.998483,2025-06-06 23:23:49.286942,0 days 00:03:54.288459,977,True,0.040109416669812034,609,450,True,"[0.574763628660341, 0.08625991961602655, 0.16444043356293817, 0.17453601816069408]",COMPLETE
10,11178.388888888889,2025-06-06 23:23:49.287335,2025-06-06 23:26:27.871569,0 days 00:02:38.584234,325,True,0.6920871751312798,420,27,True,"[0.21692576199956654, 0.1302847716553962, 0.5274349034506639, 0.1253545628943734]",COMPLETE
11,11170.236111111111,2025-06-06 23:26:27.872108,2025-06-06 23:36:20.107372,0 days 00:09:52.235264,580,False,0.6670755592037543,930,296,True,"[0.11858475181020678, 0.27803618157784765, 0.5797248434596043, 0.023654223152341336]",COMPLETE
12,11187.625,2025-06-06 23:36:20.107887,2025-06-06 23:36:27.676889,0 days 00:00:07.569002,591,True,0.0056860852401619715,29,24,False,"[0.22837259329677517, 0.7084207746411397, 0.015659707828498133, 0.047546924233586876]",COMPLETE
13,11160.569444444445,2025-06-06 23:36:27.677265,2025-06-06 23:37:20.020977,0 days 00:00:52.343712,256,False,0.5721074019792917,580,343,False,"[0.358710293470254, 0.29735649312313966, 0.33640524182405523, 0.007527971582551028]",COMPLETE
14,11080.666666666666,2025-06-06 23:37:20.021447,2025-06-06 23:38:18.422412,0 days 00:00:58.400965,703,True,0.3967127293652907,304,247,True,"[0.5049955433629453, 0.053005724421133604, 0.1376582344065283, 0.30434049780939293]",COMPLETE
15,11087.013888888889,2025-06-06 23:38:18.422989,2025-06-06 23:38:32.130167,0 days 00:00:13.707178,728,False,0.6437022188311782,506,483,False,"[0.5742029465166818, 0.3496905470654274, 0.06665332332181295, 0.009453183096077889]",COMPLETE
16,11179.75,2025-06-06 23:38:32.130806,2025-06-06 23:40:12.518701,0 days 00:01:40.387895,664,False,0.4289111635438746,297,183,False,"[0.1664128476404589, 0.5508103410878739, 0.013673412694420175, 0.26910339857724713]",COMPLETE
17,11183.194444444445,2025-06-06 23:40:12.519364,2025-06-06 23:43:03.763410,0 days 00:02:51.244046,579,True,0.431555598563106,657,428,False,"[0.6197132740491483, 0.01736576122512951, 0.15441542608512826, 0.20850553864059373]",COMPLETE
18,11185.736111111111,2025-06-06 23:43:03.763688,2025-06-06 23:52:38.669450,0 days 00:09:34.905762,808,False,0.9186436485171842,707,71,False,"[0.3233808486664564, 0.27885748512883823, 0.29651705142842283, 0.10124461477628247]",COMPLETE
19,11181.583333333334,2025-06-06 23:52:38.669885,2025-06-06 23:54:35.069238,0 days 00:01:56.399353,171,True,0.8473122128635899,620,77,True,"[0.3408869492871127, 0.4257982319438627, 0.20199065144715916, 0.03132416732186557]",COMPLETE
20,11164.777777777777,2025-06-06 23:54:35.069933,2025-06-06 23:57:08.023215,0 days 00:02:32.953282,701,True,0.865649561276772,459,331,False,"[0.14468357219721728, 0.3586363943876792, 0.09024457382468949, 0.406435459590414]",COMPLETE
21,11165.805555555555,2025-06-06 23:57:08.023738,2025-06-06 23:58:26.325840,0 days 00:01:18.302102,733,True,0.055229312362575125,180,94,True,"[0.044680619111363847, 0.18817950841554498, 0.7380204618442173, 0.02911941062887392]",COMPLETE
22,11091.166666666666,2025-06-06 23:58:26.326320,2025-06-07 00:00:31.938248,0 days 00:02:05.611928,352,False,0.03277525167224523,929,654,True,"[0.22029052656083098, 0.2458997147459256, 0.05780500526307615, 0.4760047534301673]",COMPLETE
23,11160.986111111111,2025-06-07 00:00:31.938973,2025-06-07 00:08:16.368843,0 days 00:07:44.429870,935,True,0.5897301564018619,618,331,True,"[0.11707730936559117, 0.21144627543614855, 0.08708563467401714, 0.5843907805242432]",COMPLETE
24,11138.986111111111,2025-06-07 00:08:16.369340,2025-06-07 00:09:56.062724,0 days 00:01:39.693384,194,False,0.49047789100033196,945,699,False,"[0.169414055466739, 0.058108945335867516, 0.20383335083390533, 0.568643648363488]",COMPLETE
25,11170.333333333334,2025-06-07 00:09:56.063308,2025-06-07 00:13:43.473460,0 days 00:03:47.410152,318,False,0.18024447020451553,700,265,True,"[0.07003261504075958, 0.0011727764630571913, 0.4280966733378712, 0.5006979351583118]",COMPLETE
26,11101.041666666666,2025-06-07 00:13:43.473758,2025-06-07 00:13:56.939225,0 days 00:00:13.465467,541,True,0.217463190429677,898,889,False,"[0.1132031705011761, 0.4808019195188638, 0.02195480115242272, 0.3840401088275375]",COMPLETE
27,11184.930555555555,2025-06-07 00:13:56.939585,2025-06-07 00:14:56.099402,0 days 00:00:59.159817,327,False,0.830386358325718,390,229,False,"[0.5387291194750146, 0.07390667089614057, 0.21684141600343368, 0.17052279362541112]",COMPLETE
28,11098.152777777777,2025-06-07 00:14:56.099857,2025-06-07 00:16:08.759241,0 days 00:01:12.659384,193,True,0.21607666175933132,954,656,True,"[0.353306164656575, 0.1040519872397367, 0.5347681796427336, 0.007873668460954596]",COMPLETE
