instance_name,instance_vertices,instance_edges,instance_symmetrical_type,has_closed_cycle,k_factor,k_size,gvns,hh_rand,hh_greedy,ga_w_nn
a280,280,39340,TSP,False,0.25,70,,,,606.0
a280,280,39340,TSP,True,0.25,70,687.0,670.0,683.0,686.0
a280,280,39340,TSP,True,0.5,140,1376.0,1314.0,1362.0,1358.0
a280,280,39340,TSP,True,0.75,210,2149.0,2066.0,2043.0,
bayg29,29,435,TSP,False,0.25,7,,,,246.0
bays29,29,841,TSP,False,0.25,7,,,,282.0
ali535,535,143380,TSP,True,0.25,133,18832.0,12602.0,12406.0,
ali535,535,143380,TSP,True,0.5,267,59255.0,46457.0,46195.0,
ali535,535,143380,TSP,True,0.75,401,144825.0,113209.0,108369.0,
berlin52,52,1378,TSP,False,0.25,13,,,,489.0
bier127,127,8128,TSP,False,0.25,31,,,,9840.0
att48,48,1176,TSP,True,0.25,12,1925.0,1925.0,1925.0,
att48,48,1176,TSP,True,0.5,24,3603.0,3603.0,3603.0,
att48,48,1176,TSP,True,0.75,36,6563.0,6563.0,6563.0,
burma14,14,105,TSP,False,0.25,3,,,,151.0
ch130,130,8515,TSP,False,0.25,32,,,,1116.0
att532,532,141778,TSP,True,0.25,133,4596.0,3980.0,4024.0,
att532,532,141778,TSP,True,0.5,266,11285.0,9991.0,10285.0,
att532,532,141778,TSP,True,0.75,399,23148.0,19245.0,18858.0,
ch150,150,11325,TSP,False,0.25,37,,,,1204.0
bayg29,29,435,TSP,True,0.25,7,332.0,332.0,332.0,332.0
d198,198,19701,TSP,False,0.25,49,,,,3269.0
bayg29,29,435,TSP,True,0.5,14,626.0,626.0,626.0,626.0
bayg29,29,435,TSP,True,0.75,21,999.0,999.0,999.0,999.0
bays29,29,841,TSP,True,0.25,7,400.0,400.0,400.0,400.0
dantzig42,42,903,TSP,False,0.25,10,,,,99.0
bays29,29,841,TSP,True,0.5,14,733.0,733.0,733.0,733.0
eil101,101,5151,TSP,False,0.25,25,,,,101.0
bays29,29,841,TSP,True,0.75,21,1194.0,1194.0,1194.0,1194.0
eil51,51,1326,TSP,False,0.25,12,,,,71.0
berlin52,52,1378,TSP,True,0.25,13,679.0,679.0,679.0,679.0
eil76,76,2926,TSP,False,0.25,19,,,,99.0
berlin52,52,1378,TSP,True,0.5,26,1874.0,1874.0,1874.0,1874.0
berlin52,52,1378,TSP,True,0.75,39,4174.0,4251.0,4174.0,4174.0
fri26,26,351,TSP,False,0.25,6,,,,145.0
bier127,127,8128,TSP,True,0.25,31,10619.0,10687.0,10692.0,10619.0
gil262,262,34453,TSP,False,0.25,65,,,,509.0
bier127,127,8128,TSP,True,0.5,63,27404.0,26062.0,26102.0,26107.0
bier127,127,8128,TSP,True,0.75,95,51113.0,50324.0,51427.0,50764.0
gr137,137,9453,TSP,False,0.25,34,,,,14784.0
gr17,17,153,TSP,False,0.25,4,,,,143.0
gr202,202,20503,TSP,False,0.25,50,,,,6977.0
brazil58,58,1711,TSP,True,0.25,14,4965.0,4965.0,4965.0,
brazil58,58,1711,TSP,True,0.5,29,8001.0,7993.0,7978.0,
brazil58,58,1711,TSP,True,0.75,43,11614.0,11614.0,11614.0,
gr21,21,231,TSP,False,0.25,5,,,,178.0
gr229,229,26335,TSP,False,0.25,57,,,,18471.0
gr24,24,300,TSP,False,0.25,6,,,,231.0
brg180,180,16290,TSP,True,0.25,45,650.0,540.0,520.0,
brg180,180,16290,TSP,True,0.5,90,1310.0,1080.0,1110.0,
brg180,180,16290,TSP,True,0.75,135,2030.0,1600.0,1620.0,
burma14,14,105,TSP,True,0.25,3,359.0,359.0,359.0,280.0
gr48,48,1176,TSP,False,0.25,12,,,,558.0
burma14,14,105,TSP,True,0.5,7,1272.0,1272.0,1272.0,1236.0
burma14,14,105,TSP,True,0.75,10,1642.0,1642.0,1642.0,1575.0
gr96,96,4656,TSP,False,0.25,24,,,,7704.0
ch130,130,8515,TSP,True,0.25,32,1149.0,1130.0,1130.0,1130.0
ch130,130,8515,TSP,True,0.5,65,2483.0,2408.0,2463.0,2408.0
hk48,48,1176,TSP,False,0.25,12,,,,2094.0
ch130,130,8515,TSP,True,0.75,97,4156.0,3907.0,3956.0,4158.0
kroA100,100,5050,TSP,False,0.25,25,,,,4369.0
kroA150,150,11325,TSP,False,0.25,37,,,,5286.0
ch150,150,11325,TSP,True,0.25,37,1318.0,1276.0,1276.0,1294.0
ch150,150,11325,TSP,True,0.5,75,2927.0,2761.0,2821.0,2761.0
kroA200,200,20100,TSP,False,0.25,50,,,,6138.0
kroB100,100,5050,TSP,False,0.25,25,,,,4014.0
ch150,150,11325,TSP,True,0.75,112,4814.0,4499.0,4503.0,4720.0
kroB150,150,11325,TSP,False,0.25,37,,,,5119.0
d198,198,19701,TSP,True,0.25,49,5080.0,5027.0,5037.0,5002.0
kroB200,200,20100,TSP,False,0.25,50,,,,5890.0
d198,198,19701,TSP,True,0.5,99,7270.0,7073.0,7058.0,7086.0
kroC100,100,5050,TSP,False,0.25,25,,,,4293.0
d198,198,19701,TSP,True,0.75,148,9622.0,9428.0,9386.0,9363.0
kroD100,100,5050,TSP,False,0.25,25,,,,3991.0
kroE100,100,5050,TSP,False,0.25,25,,,,3663.0
lin105,105,5565,TSP,False,0.25,26,,,,2108.0
d493,493,121771,TSP,True,0.25,123,10032.0,9399.0,9394.0,
d493,493,121771,TSP,True,0.5,246,15997.0,14223.0,14356.0,
d493,493,121771,TSP,True,0.75,369,26223.0,23483.0,23380.0,
lin318,318,50721,TSP,False,0.25,79,,,,8705.0
d657,657,216153,TSP,True,0.25,164,14029.0,12299.0,12562.0,
d657,657,216153,TSP,True,0.5,328,32740.0,24462.0,24424.0,
d657,657,216153,TSP,True,0.75,492,52098.0,41410.0,41976.0,
dantzig42,42,903,TSP,True,0.25,10,145.0,145.0,145.0,145.0
pr107,107,5778,TSP,False,0.25,26,,,,6981.0
dantzig42,42,903,TSP,True,0.5,21,260.0,260.0,260.0,260.0
pr124,124,7750,TSP,False,0.25,31,,,,9596.0
dantzig42,42,903,TSP,True,0.75,31,427.0,427.0,427.0,427.0
pr136,136,9316,TSP,False,0.25,34,,,,20928.0
